Type,Debt,Introduce Date,Introduce Author,Introduce Comment,Remove Date,Remove Author,Remove Comment,Introduce ID,Remove ID
DESIGN,// a should be capped at 3/30 // shouldn't be  // allocated due  // to max-cap,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",NULL,NULL,NULL,dbecbe5dfe50f834fc3b8401709079e9470cc517,NULL
DESIGN,//host comes from data splitLocations which are hostnames. Containers // use IP addresses. //TODO Temporary fix for locality. Use resolvers from h-common.  // Cache to make this more efficient ?,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",2011-10-19,Arun Murthy,MAPREDUCE-2693. Fix NPE in job-blacklisting. Contributed by Hitesh Shah.,dbecbe5dfe50f834fc3b8401709079e9470cc517,74748ec62570f92d57dbad3ba4cca47402990db5
DESIGN,//TODO: remove from rack,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",2011-10-19,Arun Murthy,MAPREDUCE-2693. Fix NPE in job-blacklisting. Contributed by Hitesh Shah.,dbecbe5dfe50f834fc3b8401709079e9470cc517,74748ec62570f92d57dbad3ba4cca47402990db5
DESIGN,// TODO handling of rack blacklisting // Removing from rack should be dependent on no. of failures within the rack  // Blacklisting a rack on the basis of a single node's blacklisting  // may be overly aggressive.  // Node failures could be co-related with other failures on the same rack  // but we probably need a better approach at trying to decide how and when  // to blacklist a rack,2011-10-19,Arun Murthy,MAPREDUCE-2693. Fix NPE in job-blacklisting. Contributed by Hitesh Shah.,NULL,NULL,NULL,74748ec62570f92d57dbad3ba4cca47402990db5,NULL
DESIGN,//check for cases like -0.0 and 0.0 (they should be declared equal),2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",NULL,NULL,NULL,a196766ea07775f18ded69bd9e8d239f8cfd3ccc,NULL
DESIGN,//check for cases like 0.0 and -0.0 (they should be declared equal),2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",NULL,NULL,NULL,a196766ea07775f18ded69bd9e8d239f8cfd3ccc,NULL
DESIGN,"// Since we're creating a new UserGroupInformation here, we know that no // future RPC proxies will be able to re-use the same connection. And // usages of this proxy tend to be one-off calls. // // This is a temporary fix: callers should really achieve this by using // RPC.stopProxy() on the resulting object, but this is currently not // working in trunk. See the discussion on HDFS-1965.",2011-12-11,Suresh Srinivas,"HDFS-2647. Used protobuf based RPC for InterDatanodeProtocol, ClientDatanodeProtocol, JournalProtocol, NamenodeProtocol. Contributed by Suresh Srinivas.",NULL,NULL,NULL,2740112bb64e1cc8132a1dc450d9e461c2e4729e,NULL
DESIGN,// TODO: Reuse FS for user?,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",NULL,NULL,NULL,dbecbe5dfe50f834fc3b8401709079e9470cc517,NULL
DESIGN,// TODO Maybe support suffix to be more than a single file.,2011-10-28,Vinod Kumar Vavilapalli,MAPREDUCE-2989. Modified JobHistory to link to task and AM logs from the JobHistoryServer. Contributed by Siddharth Seth.,2011-11-03,Vinod Kumar Vavilapalli,MAPREDUCE-3297. Moved log related components into yarn-common so that HistoryServer and clients can use them without depending on the yarn-server-nodemanager module. Contributed by Siddharth Seth.,670fa24b48acb407c22fbfdde87ae3123dcbf449,c27601fefebd0af887a12d684bfc6f90d9fc0321
DESIGN,"/*-------------------------------------------------------------------------
hadoop,     * Shut down the datanodes, reconfigure, and bring them back up.
hadoop,     * This time, modify the dfs.datanode properties and make sure that they
hadoop,     * are used to configure sockets by MiniDFSCluster.startDataNodes().
hadoop,     *------------------------------------------------------------------------*/",2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",NULL,NULL,NULL,a196766ea07775f18ded69bd9e8d239f8cfd3ccc,NULL
DESIGN,"// HeartBeat processing from our end is done, as node pulls the following // lists before sending status-updates. Clear data-structures // TODO: These lists could go to the NM multiple times, or never.",2012-08-25,Siddharth Seth,YARN-39. RM-NM secret-keys should be randomly generated and rolled every so often. (Contributed by Vinod Kumar Vavilapalli and Siddharth Seth),2013-03-01,Siddharth Seth,YARN-376. Fixes a bug which would prevent the NM knowing about completed containers and applications. Contributed by Jason Lowe.,ffd2e01604be814fa3db1dded7cd7cff26a79b1e,83d80658673b286efc534d96463e4c93fb818858
DESIGN,// Hack for local FS that does not have the concept of a 'mounting point',2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",2012-11-09,Robert Joseph Evans,MAPREDUCE-4266. remove Ant remnants from MR (tgraves via bobby),a196766ea07775f18ded69bd9e8d239f8cfd3ccc,ca1c683b4755958b30af7b6d8dc8c5b9fa55c60b
DESIGN,// Only need todo this once,2011-06-20,Thomas White,HADOOP-7206. Integrate Snappy compression. Contributed by T Jake Luciani.,2011-06-24,Eli Collins,Revert commit 1137690 (HADOOP-7206),7e1e4bf50fa83083e762fc267b5215d606a64c3e,75de23c0d383aa829ae25f19fbfc4fab51959ec4
DESIGN,// TODO: this really should be a -nl option,2011-05-06,Tsz-wo Sze,HADOOP-7251. Refactor the getmerge command to conform to new FsCommand class.  Contributed by Daryn Sharp,2011-05-25,Todd Lipcon,HADOOP-7320. Refactor the copy and move commands to conform to new FsCommand class. Contributed by Daryn Sharp.,4de502c7c050373efe8620b320ab4413bd54cfa2,77b4fd6572d6f928ea5bd86c8b00caeba7bb3b99
DESIGN,// put the file(that should go into public dist cache) in dfs and set // read and exe permissions for others,2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",2011-09-07,Mahadev Konar,"MAPREDUCE-2948. Hadoop streaming test failure, post MR-2767 (mahadev)",a196766ea07775f18ded69bd9e8d239f8cfd3ccc,1c15670d531945e3cae856af35bc0e52567c2ea5
DESIGN,"// This could be improved to not need synchronization. But currently, // journalSet is not threadsafe, so we need to synchronize this method.",2012-03-02,Aaron Myers,HDFS-3039. Address findbugs and javadoc warnings on branch. Contributed by Todd Lipcon.,NULL,NULL,NULL,7be4e5bd222c6f1c40f88ee8b24b1587e157a87e,NULL
DESIGN,"// All journals have failed, it is handled in logSync. // TODO: are we sure this is OK?",2012-07-20,Todd Lipcon,HDFS-3077. Quorum-based protocol for reading and writing edit logs. Contributed by Todd Lipcon based on initial work from Brandon Li and Hari Mankude.,NULL,NULL,NULL,74d4573a23db5586c6e47ff2277aa7c35237da34,NULL
DESIGN,// TODO: We should do away with this add-then-replace dance.,2011-12-16,Aaron Myers,HDFS-2602. NN should log newly-allocated blocks without losing BlockInfo. Contributed by Aaron T. Myers,2012-02-02,Konstantin Shvachko,HDFS-2718. Optimize OP_ADD in edits loading. Contributed by Konstantin Shvachko.,71071b904d0c9aec7b3713d41740f24182e81c36,191db6a9073e8660440c85d2c1a65e2a48b4b45c
DESIGN,"// TODO: we could use removeLease(holder, path) here, but OP_CLOSE // doesn't seem to serialize the holder... unclear why!",2011-12-16,Aaron Myers,HDFS-2602. NN should log newly-allocated blocks without losing BlockInfo. Contributed by Aaron T. Myers,2012-02-02,Konstantin Shvachko,HDFS-2718. Optimize OP_ADD in edits loading. Contributed by Konstantin Shvachko.,71071b904d0c9aec7b3713d41740f24182e81c36,191db6a9073e8660440c85d2c1a65e2a48b4b45c
DESIGN,// TODO: shouldn't this only be true for the last block? // what about an old-version fsync() where fsync isn't called // until several blocks in?,2012-03-01,Todd Lipcon,HDFS-3023. Optimize entries in edits log for persistBlocks call. Contributed by Todd Lipcon.,NULL,NULL,NULL,30cffeb388f9065f0c5ce5fa53e127940a8917b6,NULL
DESIGN,// TODO: shouldn't this only be true for the last block? // what about an old-version fsync() where fsync isn't called // until several blocks in?,2014-09-02,Andrew Wang,HDFS-6634. inotify in HDFS. Contributed by James Thomas.,NULL,NULL,NULL,faa4455be512e070fa420084be8d1be5c72f3b08,NULL
DESIGN,"// mtime // atime, unused at this time",2011-07-26,Todd Lipcon,HDFS-2149. Move EditLogOp serialization formats into FsEditLogOp implementations. Contributed by Ivan Kelly.,2011-09-17,Tsz-wo Sze,"HDFS-362.  FSEditLog should not writes long and short as UTF8, and should not use ArrayWritable for writing non-array items.  Contributed by Uma Maheswara Rao G",438c32aaf9fb0c63f55044cf5ef1b2e0adcf7fea,dafa8f7a77e8e569f5e5b2dc0887f8fd95ca7ef6
DESIGN,"// mtime // atime, unused at this",2011-09-17,Tsz-wo Sze,"HDFS-362.  FSEditLog should not writes long and short as UTF8, and should not use ArrayWritable for writing non-array items.  Contributed by Uma Maheswara Rao G",NULL,NULL,NULL,dafa8f7a77e8e569f5e5b2dc0887f8fd95ca7ef6,NULL
DESIGN,"// FSEditLogOp#decodeOp is not supposed to throw RuntimeException. // However, we handle it here for recovery mode, just to be more // robust.",2012-05-15,Todd Lipcon,HDFS-3335. check for edit log corruption at the end of the log. Contributed by Colin Patrick McCabe.,NULL,NULL,NULL,95710c15b7a724897bcde826e112df6d4b4fe56b,NULL
DESIGN,"// mtime // atime, unused at this",2015-04-30,Akira Ajisaka,HDFS-5574. Remove buffer copy in BlockReader.skip. Contributed by Binglin Chang.,NULL,NULL,NULL,e89fc53a1d264fde407dd2c36defab5241cd0b52,NULL
DESIGN,"// FSEditLogOp#decodeOp is not supposed to throw RuntimeException. // However, we handle it here for recovery mode, just to be more // robust.",2015-04-30,Akira Ajisaka,HDFS-5574. Remove buffer copy in BlockReader.skip. Contributed by Binglin Chang.,NULL,NULL,NULL,e89fc53a1d264fde407dd2c36defab5241cd0b52,NULL
DESIGN,"// mtime // atime, unused at this",2015-01-12,Plamen Jeliazkov,HDFS-3107. Introduce truncate. Contributed by Plamen Jeliazkov.,NULL,NULL,NULL,7e9358feb326d48b8c4f00249e7af5023cebd2e2,NULL
DESIGN,"// FSEditLogOp#decodeOp is not supposed to throw RuntimeException. // However, we handle it here for recovery mode, just to be more // robust.",2015-01-12,Plamen Jeliazkov,HDFS-3107. Introduce truncate. Contributed by Plamen Jeliazkov.,NULL,NULL,NULL,7e9358feb326d48b8c4f00249e7af5023cebd2e2,NULL
DESIGN,"//TODO: Refactor this method, it seems more complicated than necessary.",2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",NULL,NULL,NULL,dbecbe5dfe50f834fc3b8401709079e9470cc517,NULL
DESIGN,//do not need to implement this // hdfs in itself does seektonewsource  // while reading.,2009-05-19,Owen O'Malley,HADOOP-4687 Moving src directories on branch,2010-03-24,Mahadev Konar,HADOOP-6646. Move HarfileSystem out of Hadoop Common. (mahadev),5128a9a453d64bfe1ed978cf9ffed27985eeef36,980f819047e3bbcb5d792f3be829f4fed3eff8c7
DESIGN,// update the counts // TODO(HA): this may be very slow -- we probably want to // update them as we go for HA.,2011-11-30,Todd Lipcon,"HDFS-1975. Support for sharing the namenode state from active to standby. Contributed by Jitendra Nath Pandey, Aaron T Myers, and Todd Lipcon.",2012-02-29,Aaron Myers,HDFS-2920. fix remaining TODO items. Contributed by Aaron T. Myers and Todd Lipcon.,f87a4b40bc99e76602a75906df31747cfdbff78a,978a8050e28b2afb193a3e00d82a8475fa4d2428
DESIGN,//TODO: Need to come up with a better place to put //this block of code to do with reading the file,2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",2012-02-16,Robert Joseph Evans,MAPREDUCE-3849. Change TokenCache's reading of the binary token file  (Daryn Sharp via bobby),a196766ea07775f18ded69bd9e8d239f8cfd3ccc,cfc4ad76a325381119351092ac9e40544141b74a
DESIGN,// Update consumption and track allocations //TODO: fixme sharad,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",NULL,NULL,NULL,dbecbe5dfe50f834fc3b8401709079e9470cc517,NULL
DESIGN,// Update consumption and track allocations //TODO: fixme sharad,2015-02-08,Karthik Kambatla,"YARN-2990. FairScheduler's delay-scheduling always waits for node-local and rack-local delays, even for off-rack-only requests. (kasha)",NULL,NULL,NULL,7e42088abf230dce9c63497d0937fee4f9a1e4a5,NULL
DESIGN,"/*
hadoop,         * TODO we need to change format of the image file
hadoop,         * it should not contain version and namespace fields
hadoop,         */",2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",2012-03-30,Eli Collins,HDFS-3137. Bump LAST_UPGRADABLE_LAYOUT_VERSION to -16. Contributed by Eli Collins,a196766ea07775f18ded69bd9e8d239f8cfd3ccc,64641c28b5ea8538033060452b0c45b7f2eeb60c
DESIGN,// TODO bad dependency,2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",2011-09-07,Todd Lipcon,HDFS-2223. Untangle depencencies between NN components. Contributed by Todd Lipcon.,a196766ea07775f18ded69bd9e8d239f8cfd3ccc,06e84a1bca19bd01568a3095e33944d4d6387fd3
DESIGN,// reset INodeId. TODO: remove this after inodeId is persisted in fsimage,2012-12-28,Tsz-wo Sze,HDFS-4334. Add a unique id to INode.  Contributed by Brandon Li,2013-04-08,Suresh Srinivas,HDFS-4339. Persist inode id in fsimage and editlog. Contributed by Brandon Li.,0fa9c7a825f444d50c89b986bacea7a547e4ab8b,19201622be1db8e166d1cc0dd7e62af4702d2784
DESIGN,//TODO this is a hack :( // jobtracker-hostname_jobtracker-identifier_,2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",2012-11-09,Robert Joseph Evans,MAPREDUCE-4266. remove Ant remnants from MR (tgraves via bobby),a196766ea07775f18ded69bd9e8d239f8cfd3ccc,ca1c683b4755958b30af7b6d8dc8c5b9fa55c60b
DESIGN,// TODO: Wrong event.,2011-08-18,Vinod Kumar Vavilapalli,"MAPREDUCE-279. MapReduce 2.0. Merging MR-279 branch into trunk. Contributed by Arun C Murthy, Christopher Douglas, Devaraj Das, Greg Roelofs, Jeffrey Naisbitt, Josh Wills, Jonathan Eagles, Krishna Ramachandran, Luke Lu, Mahadev Konar, Robert Evans, Sharad Agarwal, Siddharth Seth, Thomas Graves, and Vinod Kumar Vavilapalli.",NULL,NULL,NULL,dbecbe5dfe50f834fc3b8401709079e9470cc517,NULL
DESIGN,//  TODO: fix snapshot fsimage,2013-02-08,Tsz-wo Sze,HDFS-4446. Support file snapshots with diff lists.,2013-02-14,Tsz-wo Sze,HDFS-4481. Change fsimage to support snapshot file diffs.,4f7d921324c7fa9623c34688e3f2aa57fbfcb8b3,02e6b72ae148fc8c2ba02ef624536b9e48997b31
DESIGN,"// TODO: fix case hdfs.rename(sub1file1, sub1file2);",2013-04-01,Tsz-wo Sze,HDFS-4611. Update FSImage for INodeReference.,2013-04-24,Tsz-wo Sze,HDFS-4735. DisallowSnapshot throws IllegalStateException for nested snapshottable directories.  Contributed by Jing Zhao,1096917649fd951be633e5619518764f23cca645,65752c09ab4c070fbb7013c785d0db1dccd55d8f
DESIGN,// Hack for local FS that does not have the concept of a 'mounting point',2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",NULL,NULL,NULL,a196766ea07775f18ded69bd9e8d239f8cfd3ccc,NULL
DESIGN,// Hack for local FS that does not have the concept of a 'mounting point',2013-09-27,Steve Loughran,HADOOP-8545. Filesystem Implementation for OpenStack Swift,NULL,NULL,NULL,3caca924bc72fe4a0e5b1ea89adb098cc1eb7874,NULL
DESIGN,// Hack for local FS that does not have the concept of a 'mounting point',2013-09-27,Steve Loughran,HADOOP-8545. Filesystem Implementation for OpenStack Swift,NULL,NULL,NULL,3caca924bc72fe4a0e5b1ea89adb098cc1eb7874,NULL
DESIGN,"// Each bin is a unique combination of a Mapper and InputFormat, and // DelegatingInputFormat should split each bin into numSplits splits, // regardless of the number of paths that use that Mapper/InputFormat",2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",NULL,NULL,NULL,a196766ea07775f18ded69bd9e8d239f8cfd3ccc,NULL
DESIGN,"// Each bin is a unique combination of a Mapper and InputFormat, and // DelegatingInputFormat should split each bin into numSplits splits, // regardless of the number of paths that use that Mapper/InputFormat",2013-09-27,Steve Loughran,HADOOP-8545. Filesystem Implementation for OpenStack Swift,NULL,NULL,NULL,3caca924bc72fe4a0e5b1ea89adb098cc1eb7874,NULL
DESIGN,"// Each bin is a unique combination of a Mapper and InputFormat, and // DelegatingInputFormat should split each bin into numSplits splits, // regardless of the number of paths that use that Mapper/InputFormat",2013-09-27,Steve Loughran,HADOOP-8545. Filesystem Implementation for OpenStack Swift,NULL,NULL,NULL,3caca924bc72fe4a0e5b1ea89adb098cc1eb7874,NULL
DESIGN,"// The same datanode has been just restarted to serve the same data  // storage. We do not need to remove old data blocks, the delta will // be calculated on the next block report from the datanode",2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",2011-07-22,Tsz-wo Sze,HDFS-2167.  Move dnsToSwitchMapping and hostsReader from FSNamesystem to DatanodeManager.,a196766ea07775f18ded69bd9e8d239f8cfd3ccc,233a7aa34f37350bf7bcdd9c84b97d613e7344c9
DESIGN,"// TODO: these lines spew lots of warnings about ""already stopped"" logs, etc",2011-11-30,Todd Lipcon,"HDFS-1975. Support for sharing the namenode state from active to standby. Contributed by Jitendra Nath Pandey, Aaron T Myers, and Todd Lipcon.",2012-02-25,Aaron Myers,HDFS-2978. The NameNode should expose name dir statuses via JMX. Contributed by Aaron T. Myers.,f87a4b40bc99e76602a75906df31747cfdbff78a,b57260f848da5cfc6b03c871987ed34d8bfda9c7
DESIGN,// TODO: implement,2012-10-23,Suresh Srinivas,HDFS-4084. Provide CLI support to allow and disallow snapshot on a directory. Contributed by Brondon Li.,2012-11-02,Suresh Srinivas,HDFS-4095. Add some snapshot related metrics. Contributed by Jing Zhao.,4fde5c01901b6acb4363747d01603664a0283fc4,77fe43ac1440356f77c6207276463f16df75e3b5
DESIGN,//TODO: do not hardcode snapshot quota value,2012-10-28,Tsz-wo Sze,HDFS-4119. Complete the allowSnapshot code and add a test for it.,2012-12-21,Tsz-wo Sze,HDFS-4103. Support O(1) snapshot creation.,f60a844e7af0fd95cb10f6faa427a73314753dbd,b9f965de120b5278ac84a7e98aecb32aafde4c16
DESIGN,"// TODO: implement, also need to update metrics in corresponding // SnapshotManager method ",2012-11-02,Suresh Srinivas,HDFS-4095. Add some snapshot related metrics. Contributed by Jing Zhao.,2012-11-03,Tsz-wo Sze,HDFS-4143. Change blocks to private in INodeFile and renames isLink() to isSymlink() in INode.,77fe43ac1440356f77c6207276463f16df75e3b5,d174f574bafcfefc635c64a47f258b1ce5d5c84e
DESIGN,//TODO: need to update metrics in corresponding SnapshotManager method ,2012-11-05,Tsz-wo Sze,HDFS-4149. Implement the disallowSnapshot(..) in FSNamesystem and add resetSnapshottable(..) to SnapshotManager.,2013-04-24,Tsz-wo Sze,HDFS-4735. DisallowSnapshot throws IllegalStateException for nested snapshottable directories.  Contributed by Jing Zhao,f84000900afa8b6274eb227992134f24dbf5c2b4,65752c09ab4c070fbb7013c785d0db1dccd55d8f
DESIGN,// TODO: check if the new name is valid. May also need this for // creationSnapshot,2012-11-18,Tsz-wo Sze,HDFS-4196. Support renaming of snapshots. Contributed by Jing Zhao,2013-04-07,Uma Maheswara Rao G,HDFS-4525. Provide an API for knowing that whether file is closed or not. Contributed by SreeHari.,9bed64a6fc84f640c7bfded6228b4d7fee9ea45f,c5bb615317f1aa8d3cba4cf331f732126655b68e
DESIGN,"// TODO: after MAPREDUCE-2793 YarnException is probably not expected here // anymore but keeping it for now just in case other stuff starts failing. // Also, the webservice should ideally return BadRequest (HTTP:400) when // the id is malformed instead of NotFound (HTTP:404). The webserver on // top of which AMWebServices is built seems to automatically do that for // unhandled exceptions",2012-02-25,Vinod Kumar Vavilapalli,"MAPREDUCE-2793. Corrected AppIDs, JobIDs, TaskAttemptIDs to be of correct format on the web pages. Contributed by Bikas Saha.",2013-06-04,Vinod Kumar Vavilapalli,YARN-635. Renamed YarnRemoteException to YarnException. Contributed by Siddharth Seth. MAPREDUCE-5301. Updated MR code to work with YARN-635 changes of renaming YarnRemoteException to YarnException. Contributed by Siddharth Seth,7a082ec2bd29d04abe0dc86349d163d6e03250eb,a83fb61ac07c0468cbc7a38526e92683883dd932
DESIGN,"// TODO: after MAPREDUCE-2793 YarnRuntimeException is probably not expected here // anymore but keeping it for now just in case other stuff starts failing. // Also, the webservice should ideally return BadRequest (HTTP:400) when // the id is malformed instead of NotFound (HTTP:404). The webserver on // top of which AMWebServices is built seems to automatically do that for // unhandled exceptions",2013-06-04,Vinod Kumar Vavilapalli,YARN-635. Renamed YarnRemoteException to YarnException. Contributed by Siddharth Seth. MAPREDUCE-5301. Updated MR code to work with YARN-635 changes of renaming YarnRemoteException to YarnException. Contributed by Siddharth Seth,NULL,NULL,NULL,a83fb61ac07c0468cbc7a38526e92683883dd932,NULL
DESIGN,//TODO: check for insane values,2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",NULL,NULL,NULL,a196766ea07775f18ded69bd9e8d239f8cfd3ccc,NULL
DESIGN,// Hack for local FS that does not have the concept of a 'mounting point',2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",NULL,NULL,NULL,a196766ea07775f18ded69bd9e8d239f8cfd3ccc,NULL
DESIGN,// XXX don't know what the file is?,2009-05-19,Owen O'Malley,HADOOP-4687 split the contrib dirs,2009-07-03,Giridharan Kesavan,Move eclipse-plugin from common to mapreduce,cab0a4bf543f58600ae8499f5b219a452f89c827,aa471150ea99d81102939e17fdbc251bd1218b44
DESIGN,// Hack for local FS that does not have the concept of a 'mounting point',2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",NULL,NULL,NULL,a196766ea07775f18ded69bd9e8d239f8cfd3ccc,NULL
DESIGN,//    TODO: fix image for file diff.,2013-02-08,Tsz-wo Sze,HDFS-4446. Support file snapshots with diff lists.,2013-02-14,Tsz-wo Sze,HDFS-4481. Change fsimage to support snapshot file diffs.,4f7d921324c7fa9623c34688e3f2aa57fbfcb8b3,02e6b72ae148fc8c2ba02ef624536b9e48997b31
DESIGN,// the inode in inodeMap should also be replaced,2013-04-26,Tsz-wo Sze,HDFS-4757. Update FSDirectory#inodeMap when replacing an INodeDirectory while setting quota.  Contributed by Jing Zhao,NULL,NULL,NULL,06fb184d4d0278cfb57df70ec3c264ec3e8886eb,NULL
DESIGN,// the inode in inodeMap should also be replaced,2014-02-12,Colin McCabe,HDFS-5810. Unify mmap cache and short-circuit file descriptor cache (cmccabe),NULL,NULL,NULL,beb0d25d2a7ba5004c6aabd105546ba9a9fec9be,NULL
DESIGN,// FIXME Error dialog,2009-05-19,Owen O'Malley,HADOOP-4687 split the contrib dirs,2009-07-03,Giridharan Kesavan,Move eclipse-plugin from common to mapreduce,cab0a4bf543f58600ae8499f5b219a452f89c827,aa471150ea99d81102939e17fdbc251bd1218b44
DESIGN,// FIXME Error dialog,2015-02-12,drankye,HADOOP-11542. Raw Reed-Solomon coder in pure Java. Contributed by Kai Zheng,NULL,NULL,NULL,dae27f6dd14ac3ed0b9821a3c5239569b13f6adf,NULL
DESIGN,// no snapshot in dst tree of rename // the above scenario ,2013-04-13,Tsz-wo Sze,HDFS-4675. Fix rename across snapshottable directories.  Contributed by Jing Zhao,2013-04-17,Tsz-wo Sze,HDFS-4550. Refactor INodeDirectory.INodesInPath to a standalone class.,9c6a7bebe23ffb85d7fd95607f3b7bb4fe82dbe4,9280468b1acfa346250d0212b5cb7486dc83705c
DESIGN,// TODO: Need to update the cleanSubtree/destroy methods to clean inode map,2013-04-22,Tsz-wo Sze,HDFS-4726. Fix test failures after merging the INodeId-INode mapping from trunk.  Contributed by Jing Zhao,2013-04-23,Tsz-wo Sze,HDFS-4727. Update inodeMap after deleting files/directories/snapshots.  Contributed by Jing Zhao,43bdc22e9207a74678665de5f109dd7e56fe979a,92e0416ced279a910616985bf11fa3f8b1b1de9b
DESIGN,// Export the pid of taskJvm to env variable JVM_PID. // Currently pid is not used on Windows,2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",NULL,NULL,NULL,a196766ea07775f18ded69bd9e8d239f8cfd3ccc,NULL
DESIGN,//TODO: change it to use diff list,2013-01-24,Tsz-wo Sze,HDFS-4436. Change INode.recordModification(..) to return only the current inode and remove the updateCircularList parameter from some methods in INodeDirectoryWithSnapshot.Diff.,2013-02-08,Tsz-wo Sze,HDFS-4446. Support file snapshots with diff lists.,bb80f2fb29d6f58d9c35f4a1fd88c99517f43e16,4f7d921324c7fa9623c34688e3f2aa57fbfcb8b3
DESIGN,"// All taskDirs should be present in the observed list. Other files like // job.xml etc may be present too, we are not checking them here.",2011-06-12,Todd Lipcon,"HADOOP-7106. Reorganize SVN layout to combine HDFS, Common, and MR in a single tree (project unsplit)",2012-11-09,Robert Joseph Evans,MAPREDUCE-4266. remove Ant remnants from MR (tgraves via bobby),a196766ea07775f18ded69bd9e8d239f8cfd3ccc,ca1c683b4755958b30af7b6d8dc8c5b9fa55c60b
